Data e Ora;Temp;Rugiada;Pressione;Umidita'
02-01-17 20:44;2.6;1.6;1015.1;93
02-01-17 20:59;2.7;1.7;1015.1;93
02-01-17 21:14;2.7;1.7;1015.1;93
02-01-17 21:29;2.7;1.7;1014.8;93
02-01-17 21:44;2.7;1.7;1014.4;93
02-01-17 21:59;2.8;1.8;1014.4;93
02-01-17 22:14;2.9;1.9;1014.1;93
02-01-17 22:29;2.9;1.9;1014.1;93
02-01-17 22:44;2.8;1.6;1013.8;92
02-01-17 22:59;2.8;1.6;1013.4;92
02-01-17 23:14;2.8;1.6;1013.4;92
02-01-17 23:29;2.9;1.9;1013.1;93
02-01-17 23:59;2.9;1.9;1012.8;93
03-01-17 00:14;2.8;1.8;1012.8;93
03-01-17 00:29;2.8;1.8;1012.4;93
03-01-17 00:44;2.7;1.7;1012.1;93
03-01-17 00:59;2.7;1.7;1012.1;93
03-01-17 01:14;2.7;1.7;1012.1;93
03-01-17 01:29;2.7;1.7;1012.1;93
03-01-17 01:44;2.6;1.6;1011.7;93
03-01-17 01:59;2.6;1.6;1011.7;93
03-01-17 02:14;2.5;1.5;1011.7;93
03-01-17 02:29;2.4;1.4;1011.7;93
03-01-17 02:44;2.3;1.3;1011.7;93
03-01-17 02:59;2.4;1.4;1011.7;93
03-01-17 03:14;2.4;1.4;1011.7;93
03-01-17 03:29;2.5;1.5;1011.7;93
03-01-17 03:44;2.4;1.4;1011.7;93
03-01-17 03:59;2.4;1.4;1011.7;93
03-01-17 04:14;2.4;1.4;1011.7;93
03-01-17 04:29;2.4;1.4;1011.4;93
03-01-17 04:44;2.4;1.4;1011.7;93
03-01-17 04:59;2.4;1.4;1011.7;93
03-01-17 05:14;2.4;1.4;1011.7;93
03-01-17 05:29;2.4;1.4;1011.7;93
03-01-17 05:44;2.4;1.4;1011.7;93
03-01-17 05:59;2.3;1.3;1011.7;93
03-01-17 06:14;2.3;1.3;1011.7;93
03-01-17 06:29;2.4;1.4;1011.7;93
03-01-17 06:44;2.4;1.4;1011.7;93
03-01-17 06:59;2.4;1.4;1011.7;93
03-01-17 07:14;2.3;1.3;1011.4;93
03-01-17 07:29;2.2;1.2;1011.4;93
03-01-17 07:44;2.1;1.1;1011.4;93
03-01-17 07:59;2;1;1011.4;93
03-01-17 08:14;2.1;1.1;1011.4;93
03-01-17 08:29;2;1;1011.1;93
03-01-17 08:44;2;1.1;1011.1;94
03-01-17 08:59;2;1.1;1011.1;94
03-01-17 09:14;2;1.1;1010.7;94
03-01-17 09:29;2;1.1;1011.1;94
03-01-17 09:44;2;1.1;1011.1;94
03-01-17 09:59;2.1;1.2;1011.4;94
03-01-17 10:14;2.2;1.3;1011.4;94
03-01-17 10:29;2.2;1.3;1011.4;94
03-01-17 10:44;2.1;1.2;1011.1;94
03-01-17 10:59;2.2;1.3;1011.1;94
03-01-17 11:14;2.3;1.4;1010.7;94
03-01-17 11:29;2.3;1.4;1010.4;94
03-01-17 11:44;2.2;1.3;1010;94
03-01-17 11:59;2.2;1.3;1010.4;94
03-01-17 12:14;2.2;1.3;1010.4;94
03-01-17 12:29;2.2;1.2;1010;93
03-01-17 12:44;2.2;1.2;1010;93
03-01-17 12:59;2.3;1.4;1009.7;94
03-01-17 13:14;2.4;1.6;1009.4;94
03-01-17 13:29;2.5;1.6;1009.7;94
03-01-17 13:44;2.5;1.6;1009.4;94
03-01-17 13:59;2.6;1.7;1009.4;94
03-01-17 14:14;2.6;1.7;1009.4;94
03-01-17 14:29;2.7;1.8;1009.4;94
03-01-17 14:44;2.8;1.8;1009.4;93
03-01-17 14:59;2.9;1.9;1009.4;93
03-01-17 15:14;2.9;1.9;1009.4;93
03-01-17 15:29;2.8;1.8;1009.7;93
03-01-17 15:44;2.7;1.7;1009.4;93
03-01-17 15:59;2.6;1.6;1009.7;93
03-01-17 16:14;2.6;1.6;1009.7;93
03-01-17 16:29;2.5;1.5;1009.7;93
03-01-17 16:44;2.5;1.5;1009.7;93
03-01-17 16:59;2.5;1.5;1009.7;93
03-01-17 17:14;2.5;1.5;1009.7;93
03-01-17 17:29;2.5;1.5;1009.4;93
03-01-17 17:44;2.5;1.5;1009.7;93
03-01-17 17:59;2.4;1.4;1009.7;93
03-01-17 18:14;2.2;1.2;1009.7;93
03-01-17 18:29;2;1;1009.7;93
03-01-17 18:44;1.9;0.9;1009.7;93
03-01-17 18:59;1.9;1.1;1009.7;94
03-01-17 19:14;1.8;0.8;1009.7;93
03-01-17 19:29;1.8;0.9;1009.7;94
03-01-17 19:44;1.8;0.9;1009.7;94
03-01-17 19:59;1.8;0.9;1009.7;94
03-01-17 20:14;1.8;0.9;1009.4;94
03-01-17 20:29;1.9;1.1;1009.4;94
03-01-17 20:44;1.9;1.1;1009;94
03-01-17 20:59;1.9;1.1;1008.7;94
03-01-17 21:14;1.8;0.9;1008.7;94
03-01-17 21:29;1.8;0.9;1008;94
03-01-17 21:44;1.9;1.1;1008.4;94
03-01-17 21:59;1.9;1.1;1008;94
03-01-17 22:14;1.9;1.1;1008;94
03-01-17 22:29;1.9;1.1;1008;94
03-01-17 22:44;1.9;1.1;1007.3;94
03-01-17 22:59;1.9;1.1;1007;94
03-01-17 23:14;1.9;1.1;1007;94
03-01-17 23:29;1.9;1.1;1006.7;94
03-01-17 23:44;2.1;1.2;1006.7;94
03-01-17 23:59;2.1;1.2;1006.3;94
